blue_wins,first_blood,dragons,heralds,experience,kills,assists,towers_destroyed,wards_placed,wards_destroyed,cs_per_min,gold_per_min,avg_level,elite_monsters,total_jungle_minions_killed
1,1,1,-1,-1870,-4,-6,0,-5,1,0.1999999999999993,-159.89999999999986,-0.20000000000000018,0,-1
1,0,1,0,5368,9,6,0,3,-1,5.899999999999999,620.2,1,1,20
1,0,0,0,2167,1,2,0,0,1,3.400000000000002,233,0.40000000000000036,0,16
0,1,0,0,1750,2,-2,0,3,0,6.900000000000002,308.9000000000001,0.40000000000000036,0,4
0,1,1,0,-1035,3,6,0,128,3,-1.5,62.5,0.20000000000000018,1,-34
0,1,1,-1,1145,3,4,0,4,0,-3.5,113.10000000000014,0.20000000000000018,0,4
0,1,-1,0,-1819,-2,-6,0,-22,-1,-5.799999999999997,-224.20000000000005,-0.20000000000000018,-1,18
1,1,1,1,2954,4,4,0,-5,4,4.5,258,0.6000000000000005,2,0
0,0,1,1,-2244,-3,-3,0,-1,0,-3.6999999999999993,-263,-0.40000000000000036,2,1
0,1,1,0,409,0,-3,0,0,-2,1.3000000000000007,7.100000000000136,0,1,12
0,0,1,-1,18,-4,0,-1,3,-1,-2.5,-283.9000000000001,-0.40000000000000036,0,-5
0,0,0,-1,-778,-2,-6,0,-1,0,0.3000000000000007,-149.70000000000005,-0.20000000000000018,-1,4
0,0,-1,0,110,-5,-9,0,-8,3,1.4000000000000021,-203.70000000000005,0,-1,12
1,0,-1,0,1404,0,-2,0,-5,0,1.4000000000000021,63.100000000000136,0.1999999999999993,-1,5
1,1,1,-1,-2802,1,0,0,-3,0,-2,-133.89999999999986,-0.7999999999999998,0,-35
1,1,1,1,1411,2,6,1,5,1,2.799999999999997,276.79999999999995,0.20000000000000018,2,-20
1,0,1,0,17,-1,-4,0,-32,-4,-2.8999999999999986,28.59999999999991,0,1,1
0,1,1,1,-819,-1,1,0,-24,13,0.3000000000000007,9,-0.20000000000000018,2,-9
1,0,0,0,1790,1,-4,0,-3,-1,2,40.299999999999955,0.40000000000000036,0,6
1,0,1,0,-872,-2,-4,0,12,1,-1.5,-163.5999999999999,-0.20000000000000018,1,-12
1,0,-1,1,-653,-2,-4,0,-2,-3,-2.599999999999998,-137.4000000000001,-0.20000000000000018,0,17
1,0,1,0,-565,-1,1,0,-3,-1,-0.7000000000000028,-13.399999999999864,-0.20000000000000018,1,7
1,1,1,0,1120,3,7,0,2,0,-0.09999999999999787,206.20000000000005,0,1,13
0,0,0,0,-447,-1,4,0,1,1,-0.3000000000000007,-44.299999999999955,0,0,3
1,0,-1,-1,1678,1,3,0,3,3,-0.09999999999999787,137.79999999999995,0.40000000000000036,-2,-6
0,0,-1,0,1059,0,-1,0,13,3,2.8000000000000007,154.20000000000005,0,-1,-3
1,1,1,0,2153,6,4,1,7,-2,5.5,516.9000000000001,0.6000000000000005,1,7
1,0,0,0,-120,2,3,0,3,-2,-0.20000000000000284,64,-0.20000000000000018,0,-3
0,1,-1,0,282,1,-3,0,-1,1,0.1999999999999993,115.29999999999995,0.40000000000000036,-1,7
1,1,1,1,2862,6,5,0,0,-1,2.1000000000000014,387.79999999999995,0.6000000000000005,2,20
1,1,-1,0,3164,2,3,0,67,-3,9.600000000000001,303.79999999999995,1,-1,-8
1,0,0,0,259,0,0,0,-34,1,3.099999999999998,21.600000000000136,0,0,8
0,1,1,0,120,0,-4,0,-4,5,-2.200000000000003,-43.09999999999991,0,1,-4
0,0,0,0,-2637,-6,-1,0,66,-3,0.3000000000000007,-261.79999999999995,-0.7999999999999998,0,-13
1,0,-1,1,3668,6,2,2,1,-1,3.1999999999999993,564.9000000000001,1,0,19
0,0,-1,-1,-4010,-9,-7,0,-6,-1,-6.300000000000001,-494.9000000000001,-1,-2,2
1,1,1,1,4211,5,-2,1,2,1,6.400000000000002,486.6999999999998,0.8000000000000007,2,16
0,0,0,0,1426,4,3,0,-39,1,-1.9000000000000021,242.5,0.40000000000000036,0,29
1,1,1,0,2726,6,6,0,1,1,2.3999999999999986,381.5,0.8000000000000007,1,-1
1,1,1,0,-426,1,3,0,-6,2,3.8000000000000007,86.20000000000005,0.20000000000000018,1,-2
0,1,-1,0,-26,1,3,0,-44,-5,-2.599999999999998,-40.299999999999955,0,-1,-10
0,1,0,1,-1724,0,-3,0,-4,3,-6.800000000000001,-157.79999999999995,-0.20000000000000018,1,-15
1,1,0,0,2979,7,4,0,6,-3,-0.1999999999999993,352.5,0.7999999999999998,0,12
0,1,-1,-1,425,5,1,0,57,-8,-1.5999999999999979,76.5,0,-2,-18
0,0,0,-1,-4611,-8,-10,-1,-64,-3,-6.799999999999997,-680.1000000000001,-1.2000000000000002,-1,1
1,1,1,1,224,0,-1,0,-2,3,-0.8000000000000007,79.10000000000014,0,2,14
0,0,-1,0,-1188,-5,-9,0,-2,3,0.1999999999999993,-249.39999999999986,0,-1,-13
0,0,0,-1,-3107,-9,-10,-1,3,-1,-1.3000000000000007,-607.5999999999999,-0.39999999999999947,-1,-11
0,0,0,0,-1426,-3,-5,0,-2,-3,-3,-260.20000000000005,-0.6000000000000005,0,-6
1,1,1,0,2415,12,11,0,1,1,3.3999999999999986,489.89999999999986,0.7999999999999998,1,-21
0,0,1,0,1006,-1,3,0,-5,5,1.8999999999999986,47.5,0.40000000000000036,1,5
1,1,1,0,617,0,3,0,2,0,-0.3999999999999986,29,0,1,2
1,0,-1,1,1018,-2,-4,0,-7,3,1.6000000000000014,27.40000000000009,0.20000000000000018,0,12
0,1,-1,0,-3640,-4,-3,0,-1,1,-3.5,-269.79999999999995,-1,-1,-4
0,1,-1,0,-1113,-1,-4,0,5,1,0.5,-9.5,-0.20000000000000018,-1,-11
1,0,1,0,-629,-5,0,0,-4,5,-1.3999999999999986,-151.4000000000001,-0.40000000000000036,1,15
0,0,0,-1,-1282,-3,-7,0,1,0,-1.8000000000000007,-149.9000000000001,0,-1,16
1,1,0,0,1337,3,2,0,-16,-3,0.8999999999999986,129,0.20000000000000018,0,-1
0,0,1,1,-1771,-7,-18,0,-4,1,-1.3000000000000007,-311.29999999999995,-0.40000000000000036,2,14
0,0,-1,1,-842,-3,-1,0,4,-3,0.20000000000000284,-80.19999999999982,0,0,-12
0,0,0,0,4519,5,-1,0,40,-12,4.600000000000001,298.9000000000001,1,0,8
1,0,1,1,2368,0,0,0,4,1,4,116.70000000000005,0.8000000000000007,2,-10
1,1,1,0,2023,3,4,0,-1,2,5.200000000000003,243,0.20000000000000018,1,4
1,1,0,0,2183,4,3,0,0,3,7.900000000000002,203.5999999999999,0.6000000000000005,0,5
1,0,0,1,-1124,-2,-2,0,-1,0,-1.1000000000000014,-101.79999999999995,-0.20000000000000018,1,-5
0,0,1,-1,1234,4,3,-1,2,2,0.1999999999999993,-10.5,0.5999999999999996,0,6
0,0,-1,-1,-2497,-6,-11,0,22,0,-5.899999999999999,-357.29999999999995,-0.6000000000000005,-2,1
1,0,-1,0,-88,-4,-12,0,5,-3,4.299999999999997,-210.5,-0.20000000000000018,-1,-2
0,1,1,0,-504,0,-6,0,-3,-1,-1.8999999999999986,-60.899999999999864,-0.20000000000000018,1,-4
0,0,-1,0,-3345,-9,-12,0,-3,-1,-5,-492.9000000000001,-0.7999999999999998,-1,-12
1,1,0,0,1001,3,4,0,1,2,2.6999999999999993,147.4000000000001,0.40000000000000036,0,-8
0,1,0,-1,-3816,-5,-4,0,2,1,-1.1999999999999993,-245.4000000000001,-0.8000000000000007,-1,-9
1,1,0,1,480,0,-1,0,5,-1,2.5,26.899999999999864,0,1,-4
1,1,1,0,1705,2,5,0,-15,3,1,126.79999999999995,0.20000000000000018,1,20
0,1,-1,0,-1771,3,5,0,4,-3,-3.5,-36.700000000000045,-0.20000000000000018,-1,-24
0,0,1,0,-2741,-3,-5,-1,22,-2,-0.8999999999999986,-330.89999999999986,-0.6000000000000005,1,-7
0,1,-1,1,2851,1,-1,0,17,6,1.2000000000000028,118.79999999999995,0.5999999999999996,0,20
0,1,-1,0,-867,3,3,0,8,0,-7,-113.79999999999995,0,-1,-20
1,0,-1,0,1472,1,-3,0,6,-3,2.3000000000000007,32.59999999999991,0,-1,11
0,1,-1,1,488,2,2,0,-5,1,-0.3999999999999986,106,0,0,8
1,0,1,1,-31,-3,-2,0,8,-4,0.7999999999999972,-72.59999999999991,0,2,-1
1,1,1,0,208,0,-7,0,-25,1,-0.5,-27.699999999999818,0,1,11
0,0,1,0,-820,-4,-4,0,35,1,-3.8999999999999986,-276.9000000000001,-0.20000000000000018,1,9
1,1,1,1,-94,-1,-9,0,-11,-1,-0.5,-73.59999999999991,0,2,11
0,1,-1,1,-631,1,5,0,-24,9,-0.9000000000000021,181.0999999999999,-0.20000000000000018,0,-8
0,0,-1,0,-1323,-5,-9,0,1,-1,-0.5,-165.5,-0.6000000000000005,-1,13
0,0,0,0,1061,1,-1,0,-3,1,1.7000000000000028,55.700000000000045,-0.20000000000000018,0,8
0,0,0,0,-114,-6,-7,0,-5,2,4.200000000000003,-55.299999999999955,-0.20000000000000018,0,6
1,1,1,1,3196,6,1,0,1,-2,6.199999999999999,315.29999999999995,0.8000000000000007,2,-11
0,0,0,-1,-603,-1,-3,0,1,2,-2.099999999999998,-169.39999999999986,-0.40000000000000036,-1,-3
1,1,1,0,2682,4,7,0,1,3,-1.1000000000000014,331.0999999999999,0.8000000000000007,1,32
0,1,-1,0,2392,3,8,0,-38,0,4.700000000000003,340.10000000000014,0.6000000000000005,-1,15
0,1,0,0,-625,-3,-1,0,27,1,-1.9000000000000021,-129.29999999999995,-0.20000000000000018,0,20
1,1,1,1,731,2,6,0,-4,-3,-1.5999999999999979,141.9000000000001,0.40000000000000036,2,2
1,1,1,0,1175,6,4,0,-28,2,2.3000000000000007,290.70000000000005,0.20000000000000018,1,-9
0,0,1,0,-302,-2,-2,0,1,2,1.8000000000000007,-112.20000000000005,-0.20000000000000018,1,-28
1,1,1,1,2050,6,8,0,1,-1,6,461.60000000000014,0.6000000000000005,2,-13
0,1,-1,1,-547,0,1,0,22,1,-2,99.39999999999986,0,0,15
1,1,1,-1,1773,3,1,-1,2,2,2.3000000000000007,2.2000000000000455,0.40000000000000036,0,0
1,0,-1,0,-659,-2,-4,0,-21,3,0.6999999999999993,-91.59999999999991,-0.20000000000000018,-1,-23
1,0,-1,-1,-1581,0,0,0,26,0,-4.200000000000003,-178.5,-0.40000000000000036,-2,-32
1,0,1,0,1592,1,-4,0,-61,0,4.5,136.19999999999982,0.40000000000000036,1,4
0,0,-1,-1,-758,-3,-1,0,-20,1,2.3999999999999986,-69.20000000000005,0,-2,-4
1,1,-1,1,1835,2,8,0,30,-15,2.700000000000003,233.4000000000001,0.20000000000000018,0,0
0,0,-1,-1,-4872,-10,-2,0,-26,-2,-5.399999999999999,-590,-1,-2,-18
1,1,1,1,2261,4,5,0,-15,0,0.8999999999999986,201.80000000000018,0.40000000000000036,2,-4
0,1,1,0,-729,0,1,0,2,1,-2.5,-75.39999999999986,-0.20000000000000018,1,-10
1,1,-1,0,377,3,0,0,0,0,0.3999999999999986,67.5,-0.40000000000000036,-1,-15
0,1,-1,-1,-2110,-3,3,0,-28,2,1.8000000000000007,-70.20000000000005,-0.5999999999999996,-2,-27
0,0,-1,0,-503,1,1,0,14,0,-1.3999999999999986,-17.399999999999864,-0.20000000000000018,-1,2
0,1,0,0,2361,4,-3,0,-4,2,4.5,250.4000000000001,0.40000000000000036,0,5
0,1,-1,0,-369,3,-1,0,-4,3,-1.1999999999999993,6.7999999999999545,-0.20000000000000018,-1,-14
0,0,-1,1,204,-7,-7,0,-2,1,0.40000000000000213,-258.5,0,0,17
1,0,1,0,2488,1,4,0,30,-11,0.3000000000000007,161,0.6000000000000005,1,36
1,1,-1,1,227,-5,-6,0,56,-1,2.599999999999998,-85.5,0,0,7
1,0,1,-1,-612,-1,2,0,-6,0,-0.3999999999999986,-15.399999999999864,0,0,3
0,0,-1,0,-1940,-5,-13,0,0,0,-1.3000000000000007,-297.3000000000002,-0.20000000000000018,-1,-9
1,1,0,0,-594,-5,-7,0,-4,-2,0.40000000000000213,-79.60000000000014,-0.40000000000000036,0,1
1,1,1,1,913,6,9,1,2,1,-0.5999999999999979,343.89999999999986,0.20000000000000018,2,-34
0,1,1,-1,1022,3,3,0,3,-4,-1,142.29999999999995,0.20000000000000018,0,-2
1,1,1,1,-471,0,1,0,-2,1,1.8000000000000007,-88.39999999999986,0,2,-20
0,1,-1,0,-1398,-4,-5,0,-3,2,-1.8999999999999986,-190.29999999999995,-0.40000000000000036,-1,6
0,0,0,0,-3076,-5,-2,0,34,3,0,-372.79999999999995,-0.8000000000000007,0,-12
1,1,1,-1,3200,5,10,0,1,0,6,308.20000000000005,0.7999999999999998,0,4
0,0,-1,1,914,-1,-1,0,19,3,2.3000000000000007,48.200000000000045,0,0,1
1,0,1,-1,241,-3,2,0,4,-1,0.6000000000000014,-53.100000000000136,0.20000000000000018,0,12
0,0,0,0,372,1,1,0,3,-1,2.099999999999998,103.29999999999995,0,0,0
1,1,1,0,4131,9,13,0,-4,-2,6.399999999999999,534.8999999999999,0.6000000000000005,1,0
0,0,-1,-1,-540,-1,4,0,0,-1,-4.699999999999999,-167,-0.40000000000000036,-2,-11
0,1,0,0,-230,-1,2,0,5,-1,-2.3999999999999986,-32.899999999999864,0,0,13
1,0,1,0,-293,-2,0,-1,59,2,-3.200000000000003,-237.5,-0.20000000000000018,1,12
0,0,-1,0,-2980,-8,-10,0,3,0,-2.6999999999999993,-450,-0.6000000000000005,-1,5
1,1,0,0,968,1,0,0,-19,0,0.6000000000000014,120.60000000000014,0.40000000000000036,0,21
0,1,1,0,120,1,8,0,-28,11,-0.6000000000000014,109.59999999999991,0.20000000000000018,1,9
0,0,-1,-1,-926,0,2,-1,35,-1,-4.099999999999998,-112.20000000000005,-0.40000000000000036,-2,-6
0,1,-1,0,-355,3,0,0,-2,1,1.1000000000000014,-1.699999999999818,-0.20000000000000018,-1,-17
0,1,0,1,1838,6,5,0,3,0,-1.4000000000000021,306,0.40000000000000036,1,0
0,1,0,-1,-147,2,8,0,3,0,-1.6000000000000014,136.29999999999995,0,-1,-2
1,1,0,0,129,0,3,0,0,0,5.199999999999999,94.10000000000014,0.20000000000000018,0,-15
1,0,1,-1,-2330,-3,-2,0,38,0,0.5,-204.69999999999982,-0.20000000000000018,0,-23
1,0,0,0,-1018,3,1,0,4,-3,-0.8000000000000007,28,-0.40000000000000036,0,-19
0,1,1,0,-1234,0,2,0,-14,-3,-3.3999999999999986,-41.700000000000045,-0.20000000000000018,1,1
1,1,0,0,750,2,4,0,5,-2,0.3999999999999986,102.39999999999986,0,0,7
0,0,0,0,-677,-2,-6,0,-33,-2,1,-170.79999999999995,-0.40000000000000036,0,-4
0,0,-1,0,-353,-2,-4,0,19,1,0,-48.5,0,-1,14
1,1,-1,0,-749,1,-1,0,2,2,-2.1999999999999993,128.70000000000005,0,-1,8
1,0,-1,0,1424,2,3,0,4,-3,4.099999999999998,234.5999999999999,0.5999999999999996,-1,9
1,0,0,0,118,-4,-3,0,20,1,-0.5,-172.9000000000001,0,0,-1
1,1,1,0,1243,1,0,0,3,-1,3.8000000000000007,76.29999999999995,0.20000000000000018,1,-8
1,1,0,-1,2356,4,6,0,-2,-1,3.599999999999998,351.6999999999998,0.6000000000000005,-1,27
0,1,-1,1,919,2,-2,0,-14,1,2.1999999999999993,134.5999999999999,0,0,3
0,0,-1,1,1098,2,3,0,-2,3,-1.6999999999999993,103.20000000000005,0.40000000000000036,0,4
1,0,-1,0,689,3,7,0,-23,2,0.3000000000000007,145.20000000000005,-0.20000000000000018,-1,-8
1,1,-1,0,745,0,-2,0,3,-2,-0.5999999999999979,-8.200000000000045,0,-1,15
1,1,0,-1,-1744,0,1,1,-1,3,-0.1999999999999993,78.09999999999991,-0.40000000000000036,-1,-13
0,1,-1,0,-1422,-1,-2,0,-1,0,1.6000000000000014,-56.299999999999955,-0.20000000000000018,-1,-20
0,0,0,0,-942,-2,-3,0,2,-2,-1.6999999999999993,-111.20000000000005,-0.40000000000000036,0,-8
0,0,1,0,-1199,-4,-7,0,-24,1,-4.900000000000002,-251.70000000000005,-0.40000000000000036,1,25
0,0,0,0,-13,-2,-4,0,11,-1,-1.4000000000000021,-42.700000000000045,-0.20000000000000018,0,27
0,0,0,0,-297,-6,-14,0,4,2,3.1000000000000014,-216.0999999999999,0.20000000000000018,0,-8
0,0,-1,0,-539,-4,-10,0,-48,-3,-0.10000000000000142,-121.70000000000005,-0.20000000000000018,-1,20
1,0,-1,1,470,-2,-4,0,19,1,-0.3000000000000007,-98.79999999999995,0.20000000000000018,0,4
1,0,1,1,718,2,1,0,64,1,0.5,110.90000000000009,0.20000000000000018,2,14
0,1,0,0,4702,12,0,0,-3,-1,7.100000000000001,494.0999999999999,1,0,-16
0,0,-1,-1,235,-3,-1,0,-19,-1,0.8999999999999986,2.400000000000091,0.20000000000000018,-2,10
0,0,-1,0,-494,-3,0,0,-1,-2,2.8999999999999986,-28.600000000000136,0,-1,-5
1,0,0,0,-345,-1,2,0,2,-1,-2.400000000000002,-56.80000000000018,0,0,-15
1,0,0,0,879,-1,-3,0,6,1,0.6000000000000014,-38.700000000000045,0,0,-4
1,1,-1,1,2242,4,2,0,7,0,7.400000000000002,379.70000000000005,0.40000000000000036,0,-4
1,1,1,0,3669,6,9,0,-1,3,0.3000000000000007,479.3000000000002,1.2000000000000002,1,44
0,1,0,0,-1585,-6,-6,0,-18,-1,0.6999999999999993,-161.5,-0.20000000000000018,0,12
1,1,1,-1,-1739,1,-5,0,-2,1,-1.9000000000000021,-191.79999999999995,-0.40000000000000036,0,-31
1,1,0,-1,-729,1,2,0,-32,2,-3.1999999999999993,14.5,0,-1,-7
0,1,-1,0,-1120,0,-1,0,-4,3,-3.3000000000000007,-87,-0.20000000000000018,-1,-7
0,0,0,0,-1566,-2,-1,0,24,-1,-2,-165.89999999999986,-0.40000000000000036,0,-8
0,0,-1,0,-2704,-7,-9,0,-3,-1,-1.8000000000000007,-390.8000000000002,-0.40000000000000036,-1,-26
1,1,1,1,489,-1,-4,0,1,-1,-1.0999999999999979,-25,0.1999999999999993,2,7
0,0,0,-1,-2675,-7,-8,0,-36,-1,1.6999999999999993,-319.39999999999986,-0.6000000000000005,-1,-12
0,0,-1,0,1024,-1,0,0,0,-1,0,-62.299999999999955,0,-1,5
0,0,0,0,89,1,1,0,3,-2,-1.8999999999999986,19.300000000000182,0.40000000000000036,0,4
